repo,sha,author,author_type,committer,date,message,html_url
cas,7ae4beffb4f3b2a01671263bfaed9aa85ccdcac7,Tyler Parton,,Tyler Parton,2021-09-21T19:34:54Z,Edited code to make it less repetitive.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/7ae4beffb4f3b2a01671263bfaed9aa85ccdcac7
cas,e55f7734dc8c2bad0cf68cb6ac3efcc87de2238b,Tyler Parton,,Tyler Parton,2021-09-21T17:54:41Z,Merged development,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e55f7734dc8c2bad0cf68cb6ac3efcc87de2238b
cas,ce99358454d26da001852e590b375d8feddf4871,None,,None,2021-06-11T18:50:03Z,Created a conditional for roomPreference.py that will allow admin to view all courses.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/ce99358454d26da001852e590b375d8feddf4871
cas,5c7252ed9b58b85ebcb4f01265faf38ddad530e8,None,,None,2021-06-10T19:35:37Z,Changed order to name,https://github.com/BCStudentSoftwareDevTeam/cas/commit/5c7252ed9b58b85ebcb4f01265faf38ddad530e8
cas,c19624b18cac27ae5a8607f47b09e7707b2a026b,zachneill,User,zachneill,2021-06-10T17:39:26Z,footer does not overlay over buttons,https://github.com/BCStudentSoftwareDevTeam/cas/commit/c19624b18cac27ae5a8607f47b09e7707b2a026b
cas,76a9728349b6b2ac99d02ac761736d39d76f348b,zachneill,User,zachneill,2021-06-10T14:58:05Z,clicking edit course x modal takes you to the right pages,https://github.com/BCStudentSoftwareDevTeam/cas/commit/76a9728349b6b2ac99d02ac761736d39d76f348b
cas,7cdf0a07e817f4e5f7c740bd3f30067d02b59b52,None,,None,2021-06-09T17:11:17Z,Users and current users dropdown does not disappear,https://github.com/BCStudentSoftwareDevTeam/cas/commit/7cdf0a07e817f4e5f7c740bd3f30067d02b59b52
cas,d860ae623d96ee0fef5295069b66f235baaa17ff,None,,None,2021-06-09T14:42:50Z,Fixed styling for tooltip,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d860ae623d96ee0fef5295069b66f235baaa17ff
cas,82696dd7aecfec6ce21e01b6315c991dc5fd822f,None,,None,2021-06-09T14:39:20Z,Changed z-index to display help text that covers images,https://github.com/BCStudentSoftwareDevTeam/cas/commit/82696dd7aecfec6ce21e01b6315c991dc5fd822f
cas,03689e463d51bd73c0c146a1327da7ddf55e7968,escalerapadronl,User,escalerapadronl,2021-06-08T21:09:33Z,fixed notes overlapping and added close icon to notes modal. changed info popover on editActiveCourses to tooltip,https://github.com/BCStudentSoftwareDevTeam/cas/commit/03689e463d51bd73c0c146a1327da7ddf55e7968
cas,6e9d8e01577687a7ae1fb17464fc85325ffbf581,sreynit02,User,sreynit02,2021-06-08T18:54:48Z,deleted an unneccessary comment line,https://github.com/BCStudentSoftwareDevTeam/cas/commit/6e9d8e01577687a7ae1fb17464fc85325ffbf581
cas,18db9a47f055cd9182dc955faa6c6e73170f9671,sreynit02,User,sreynit02,2021-06-08T18:37:03Z,deleted the saveWarning modal when Cancel button is clicked,https://github.com/BCStudentSoftwareDevTeam/cas/commit/18db9a47f055cd9182dc955faa6c6e73170f9671
cas,5ea3dd50514101c742e0cae70ba7e45cc7a8159a,None,,None,2021-06-08T17:23:51Z,linked popup.js to popover in adminCourseTable,https://github.com/BCStudentSoftwareDevTeam/cas/commit/5ea3dd50514101c742e0cae70ba7e45cc7a8159a
cas,e76c3c3a4d6aad497b4580bb0608e5325d550151,escalerapadronl,User,escalerapadronl,2021-06-07T22:04:33Z,added trigger to popover so clicking on one note closes any open notes modal,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e76c3c3a4d6aad497b4580bb0608e5325d550151
cas,d31accafff98fcf690f3cd8348b0818222ebcb0b,zachneill,User,zachneill,2021-06-07T21:31:38Z,Added closing table tag and fixed line break,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d31accafff98fcf690f3cd8348b0818222ebcb0b
cas,f7c4ba764fc853bcfae2f88965a264ac1ba7c748,None,,None,2021-06-07T20:06:39Z,Removed error handling and html page for error 401.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/f7c4ba764fc853bcfae2f88965a264ac1ba7c748
cas,c1d4998698ea72e00ffeedc8c1a50af38709a3c9,None,,None,2021-06-07T19:24:28Z,Routed custom error pages using  imports instead of blueprints. Modified language on error pages. Added error page for 500 error.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/c1d4998698ea72e00ffeedc8c1a50af38709a3c9
cas,9d3d020cde0e60bee17677e5a3ebfcf27a5d2654,None,,None,2021-06-07T18:37:01Z,Added a button to close without saving,https://github.com/BCStudentSoftwareDevTeam/cas/commit/9d3d020cde0e60bee17677e5a3ebfcf27a5d2654
cas,6a55778f74fd90fcaf8804786d55e116b45c1164,None,,None,2021-06-07T18:26:43Z,Added a collapsible button with a warning message,https://github.com/BCStudentSoftwareDevTeam/cas/commit/6a55778f74fd90fcaf8804786d55e116b45c1164
cas,79adfd94db58d1b8fd51cc958a69dfd7f49ec7da,zachneill,User,zachneill,2021-06-07T16:22:57Z,removed unnecessary js that did not work,https://github.com/BCStudentSoftwareDevTeam/cas/commit/79adfd94db58d1b8fd51cc958a69dfd7f49ec7da
cas,80d3f02caaed0d3f86e50b82140b5c5349ac676f,zachneill,User,zachneill,2021-06-07T16:19:58Z,added multipart/form-data to html and added os remove function that deletes file,https://github.com/BCStudentSoftwareDevTeam/cas/commit/80d3f02caaed0d3f86e50b82140b5c5349ac676f
cas,2c2bec540db55e77074a9a8fd8ba33641f34eecd,zachneill,User,zachneill,2021-06-07T15:29:32Z,"Changed .py so when removed, the preview it no longer stays shown. WIP on removing file itself from server",https://github.com/BCStudentSoftwareDevTeam/cas/commit/2c2bec540db55e77074a9a8fd8ba33641f34eecd
cas,24e3af252c79fd2c23d871253819e113c2a060c2,None,,None,2021-06-04T21:50:58Z,Deleted the data_target id next to the close button,https://github.com/BCStudentSoftwareDevTeam/cas/commit/24e3af252c79fd2c23d871253819e113c2a060c2
cas,e139126ca4d2f47dbe143a70f5357563e5fcfa3e,None,,None,2021-06-04T21:07:48Z,Nonsense commit,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e139126ca4d2f47dbe143a70f5357563e5fcfa3e
cas,7e77cfda890e78c3b683e84c333fc16cf5e4d7ea,None,,None,2021-06-04T18:41:24Z,Fixed indentation,https://github.com/BCStudentSoftwareDevTeam/cas/commit/7e77cfda890e78c3b683e84c333fc16cf5e4d7ea
cas,3aa1272fd634ccbbfa3a74b29e8588f896975d53,None,,None,2021-06-04T18:33:24Z,Added an if statement to check admin privileges,https://github.com/BCStudentSoftwareDevTeam/cas/commit/3aa1272fd634ccbbfa3a74b29e8588f896975d53
cas,7d444cfa6394327baf843024fabc85bfc54254bc,None,,None,2021-06-04T14:37:06Z,we added an extra option in the credit load select picker in the special topics courses.,https://github.com/BCStudentSoftwareDevTeam/cas/commit/7d444cfa6394327baf843024fabc85bfc54254bc
cas,9f1082238dbecab058c7f92e2ef2cdf9c7510e81,gastonjarju,User,web-flow,2021-06-03T20:33:48Z,"Update secret_config.yaml

Remove my password and username",https://github.com/BCStudentSoftwareDevTeam/cas/commit/9f1082238dbecab058c7f92e2ef2cdf9c7510e81
cas,eb18ed81323cc9e13ab844d4b6a763568c815afa,None,,None,2021-06-03T20:23:57Z,wothless commit to test something,https://github.com/BCStudentSoftwareDevTeam/cas/commit/eb18ed81323cc9e13ab844d4b6a763568c815afa
cas,853e8ebf322f89e8a3c79e9f6b3fc5e03b7a70b7,None,,None,2021-06-03T20:17:16Z,Testing,https://github.com/BCStudentSoftwareDevTeam/cas/commit/853e8ebf322f89e8a3c79e9f6b3fc5e03b7a70b7
cas,8b253b50da1fd204edf2d2fcb914690b9d910969,None,,None,2021-06-03T20:16:07Z,Testing,https://github.com/BCStudentSoftwareDevTeam/cas/commit/8b253b50da1fd204edf2d2fcb914690b9d910969
cas,8ea54fe2b609fe371c5e283bb1366ea142f2c013,zachneill,User,zachneill,2021-06-03T16:32:09Z,changed footer class in css and added navbar-fixed-bottom to footer.html,https://github.com/BCStudentSoftwareDevTeam/cas/commit/8ea54fe2b609fe371c5e283bb1366ea142f2c013
cas,90570acc879eabb12679199a50f077bf8e08e122,sreynit02,User,sreynit02,2021-06-03T16:13:02Z,added an elif statement to check when can_edit is false,https://github.com/BCStudentSoftwareDevTeam/cas/commit/90570acc879eabb12679199a50f077bf8e08e122
cas,e45506e45ddee11bc55fee726a24a131cb402400,None,,None,2021-06-03T14:34:15Z,deleted the exception condition,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e45506e45ddee11bc55fee726a24a131cb402400
cas,d02d3ffabbfd50792755cd0622b2c7bb6a8d1d27,None,,None,2021-06-02T20:56:46Z,removed jinja conditional that checks for approved_special_topics,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d02d3ffabbfd50792755cd0622b2c7bb6a8d1d27
cas,13303e7b7cc64570a04ce15f355376388c720958,zachneill,User,zachneill,2021-06-02T14:48:48Z,added min='0',https://github.com/BCStudentSoftwareDevTeam/cas/commit/13303e7b7cc64570a04ce15f355376388c720958
cas,c9ef2527abbf1fb732e15e225a44dfeeb39ba40f,None,,None,2021-06-02T14:33:00Z,centered and shifted submit button on create course modal,https://github.com/BCStudentSoftwareDevTeam/cas/commit/c9ef2527abbf1fb732e15e225a44dfeeb39ba40f
cas,dbd8bb979a9008a0fa647cd406c0f7d689984276,mupotsal,User,BrianRamsay,2021-05-19T14:37:01Z,"Merged in finalSortingDropDownIssue379 (pull request #189)

Sorting Import Courses Dropdown issue#379

Approved-by: Brian Ramsay",https://github.com/BCStudentSoftwareDevTeam/cas/commit/dbd8bb979a9008a0fa647cd406c0f7d689984276
cas,61ccf99b0a9ef9f04c92d5a3f462aa915674f57f,Hila Manalai,,BrianRamsay,2021-05-19T14:35:40Z,"Merged in last-edited-column-issue364 (pull request #190)

Last Edited column showed 'None' if a course was not edited

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/61ccf99b0a9ef9f04c92d5a3f462aa915674f57f
cas,6b2b6618a5f1217d8dbec1d4bc4503b2a2bab90e,Hila Manalai,,BrianRamsay,2021-05-19T14:34:05Z,"Merged in mouse-pointer-room-resolution-link-issue368 (pull request #188)

Set Room Resolution Link Cursor to Pointer

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/6b2b6618a5f1217d8dbec1d4bc4503b2a2bab90e
cas,153af7dbae1dbc4011d4d02f5468e482151ee386,Hila Manalai,,BrianRamsay,2021-05-19T14:31:45Z,"Merged in room-pref-select-issue370 (pull request #187)

Prevent Room Preference Select Picker to Overflow

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/153af7dbae1dbc4011d4d02f5468e482151ee386
cas,a97172cf417fa9f668453a09f4169c42fd5db9c7,May Jue,,BrianRamsay,2021-05-19T14:31:23Z,"Merged in sidebarOverlap#137 (pull request #186)

issue 372: Courses: Accordion

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/a97172cf417fa9f668453a09f4169c42fd5db9c7
cas,ff2e93176b289afd7ce57130a6fe6ab03c41e0d8,mupotsal,User,BrianRamsay,2021-05-19T14:30:47Z,"Merged in logoutButton374 (pull request #185)

LogoutButton374

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/ff2e93176b289afd7ce57130a6fe6ab03c41e0d8
cas,775f61c93e25c16171d92902aaec0339e43df522,Hila Manalai,,BrianRamsay,2021-05-19T14:29:23Z,"Merged in crosslisted-default-load-credit-issue385 (pull request #184)

Crosslisted default load credit set to zero

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/775f61c93e25c16171d92902aaec0339e43df522
cas,0b0d7e88888b99307a258f3c4bd7aef635926c37,Hila Manalai,,BrianRamsay,2021-05-19T14:28:52Z,"Merged in sort-crosslisted-courses-issue384 (pull request #182)

Sorting Crosslisted Courses Dropdown in Ascending Order

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/0b0d7e88888b99307a258f3c4bd7aef635926c37
cas,eadf9648c146fe8026eecc4866b5feadd0241e07,Hila Manalai,,BrianRamsay,2021-05-19T14:28:21Z,"Merged in admin-add-courses-issue383 (pull request #183)

Add New Course Feature for Admins

Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/eadf9648c146fe8026eecc4866b5feadd0241e07
cas,8b1bd80fbc98707879130bc9f3d35534a1906f2a,romano-w,User,BrianRamsay,2021-05-19T14:01:04Z,"Merged in issue382-streamline-setup-process (pull request #180)

Issue382 streamline setup process

Approved-by: Hila Manalai
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/8b1bd80fbc98707879130bc9f3d35534a1906f2a
cas,251f8c1af1debf36c9db61a92b3bbe860fa374c7,Hila Manalai,,BrianRamsay,2021-05-19T13:59:45Z,"Merged in import-courses-load-issue380 (pull request #181)

Refactored the Import Courses Code for Selectpicker

Approved-by: Brian Ramsay
Approved-by: Alex Bryant",https://github.com/BCStudentSoftwareDevTeam/cas/commit/251f8c1af1debf36c9db61a92b3bbe860fa374c7
cas,e87ad8cab7e4d75bba12ae811f2ab03d0a241cc2,Hila Manalai,,Hila Manalai,2021-05-10T16:20:58Z,changed none to empty field when there are no previous edits,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e87ad8cab7e4d75bba12ae811f2ab03d0a241cc2
cas,5f666aa8d6bca10d0c100de09aaf14795538f300,mupotsal,User,mupotsal,2021-05-06T17:13:59Z,done with sorting,https://github.com/BCStudentSoftwareDevTeam/cas/commit/5f666aa8d6bca10d0c100de09aaf14795538f300
cas,2f843dfcc85ba3cbf0674126c6c8d7eb801a519e,Hila Manalai,,Hila Manalai,2021-05-04T14:51:34Z,changed cursor to pointer,https://github.com/BCStudentSoftwareDevTeam/cas/commit/2f843dfcc85ba3cbf0674126c6c8d7eb801a519e
cas,a2412057c104a7e46e6abd3f36a8b932cccc6601,Hila Manalai,,Hila Manalai,2021-05-03T19:11:39Z,fixed the issue with select picker overflowing,https://github.com/BCStudentSoftwareDevTeam/cas/commit/a2412057c104a7e46e6abd3f36a8b932cccc6601
cas,3a7a17b64e75dca342e86dcd8553337e1bc4295b,mupotsal,User,mupotsal,2021-04-13T18:44:28Z,fixed the overlapping sidebar,https://github.com/BCStudentSoftwareDevTeam/cas/commit/3a7a17b64e75dca342e86dcd8553337e1bc4295b
cas,902966bd6bb7e5ea11588594afae0b230e67fac0,mupotsal,User,mupotsal,2021-04-09T18:20:52Z,removed some print messages,https://github.com/BCStudentSoftwareDevTeam/cas/commit/902966bd6bb7e5ea11588594afae0b230e67fac0
cas,df80800ab7f3954aabd8d2199e38e81ecf914a6c,mupotsal,User,mupotsal,2021-04-07T20:08:55Z,fixing the login lout issue,https://github.com/BCStudentSoftwareDevTeam/cas/commit/df80800ab7f3954aabd8d2199e38e81ecf914a6c
cas,2643824374482d11681b0e05b6ef7a604c86eeb0,May Jue,,May Jue,2021-04-07T14:42:24Z,fix route issue of login_logout file,https://github.com/BCStudentSoftwareDevTeam/cas/commit/2643824374482d11681b0e05b6ef7a604c86eeb0
cas,a3fc463bf6239e9680ca258a96ede7a6314edbb7,Hila Manalai,,Hila Manalai,2021-04-06T17:31:07Z,reverting changes,https://github.com/BCStudentSoftwareDevTeam/cas/commit/a3fc463bf6239e9680ca258a96ede7a6314edbb7
cas,e6cddb121656846cb0d1d66c1fd852314d81b256,Hila Manalai,,Hila Manalai,2021-04-06T17:28:40Z,finishing up the issue,https://github.com/BCStudentSoftwareDevTeam/cas/commit/e6cddb121656846cb0d1d66c1fd852314d81b256
cas,a408f4e43ab0840742dea496e9def675e87df37d,Hila Manalai,,Hila Manalai,2021-04-06T16:10:00Z,changed the excel maker,https://github.com/BCStudentSoftwareDevTeam/cas/commit/a408f4e43ab0840742dea496e9def675e87df37d
cas,9de55ab6a408f84a346c5f94fa9bdaf890c02b0b,Hila Manalai,,Hila Manalai,2021-04-05T19:15:55Z,changed the credit for crosslisted course in excel maker,https://github.com/BCStudentSoftwareDevTeam/cas/commit/9de55ab6a408f84a346c5f94fa9bdaf890c02b0b
cas,d6a58011778c24d28f90efe2d654c0b5d656115a,Hila Manalai,,Hila Manalai,2021-04-05T14:38:38Z,fixed the flash message issue,https://github.com/BCStudentSoftwareDevTeam/cas/commit/d6a58011778c24d28f90efe2d654c0b5d656115a
cas,385259621ff9f54413b1d211fe192425e1316cde,Hila Manalai,,Hila Manalai,2021-04-04T16:11:12Z,changed not specified to zero,https://github.com/BCStudentSoftwareDevTeam/cas/commit/385259621ff9f54413b1d211fe192425e1316cde
